id,username,password,email,email_verified_at,remember_token,phone_number,full_name,date_of_birth,gender,address,role_id,registration_date,last_login,status,profile_image_url,reset_token,reset_token_expiry,identification_number,emergency_contact,biography,languages_spoken,years_of_experience,specializations,employment_status,created_at,updated_at,deleted_at,average_rating
1,admin1,$2y$12$KebvUGrKBN7NzieSatduJeP0kNwScjYI27SeJA8WtznKt36QQfAPC,admin1@example.com,,,(859) 539-6514,Else Yost,1994-03-07,male,"56436 Floy Well
Flossieburgh, SC 71229-2243",1,2025-05-15 07:39:21,2025-05-15 07:39:21,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,XSMXAWK3,+1-419-497-5607,Alias ea laudantium aut corrupti. Quia enim est totam aut. Nulla distinctio cupiditate quos beatae fugiat. Alias blanditiis ad eos ut alias soluta.,"English, Malay",3,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:22,2025-05-15 07:39:22,,
2,admin2,$2y$12$5Z0qdd9/X3ezMkJec.vAjek0aX8Ny8yzImE06vzRXvfpAzHr7nsk.,admin2@example.com,,,(513) 565-5628,Freeda Lemke,1975-12-15,male,"583 Bode Circles
Jalynborough, NY 64218",1,2025-05-15 07:39:23,2025-05-15 07:39:23,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,U3AMIE0E,+1.352.201.8352,Et ea laudantium magni aut omnis. Consequatur dignissimos quam aperiam animi officia nihil. Autem similique itaque et libero dolor repellat et.,"English, Malay",11,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:23,2025-05-15 07:39:23,,
3,guide1,$2y$12$zjYMUNJEHxWibHTYQK3/D.uyC79BWcgcTa/LjPJ8Ja.B00umJIMb6,guide1@example.com,,,(580) 824-4922,Dr. Bell Marquardt DDS,2015-08-12,female,"52559 Cooper Gateway
Terryfurt, IA 01216",2,2025-05-15 07:39:25,2025-05-15 07:39:25,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,KGTJ97UZ,+1 (708) 379-2802,Ipsum corrupti aut cupiditate totam assumenda. Possimus deleniti non rerum. Est qui ab incidunt dolores.,"English, Malay",6,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:25,2025-05-15 07:39:25,,
4,guide2,$2y$12$..yHj9qUjZZmLanlsROrUOEVf8IgjcPv72ff7Qa8Y4Xiw68L0goje,guide2@example.com,,,+1-513-784-3831,Lydia Schinner,1981-01-11,male,"1997 Furman Lodge Apt. 907
Salvatoremouth, RI 81255-3053",2,2025-05-15 07:39:26,2025-05-15 07:39:26,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,UJWRGM1J,+1-469-763-7309,Sit vero harum ea ipsam voluptatem perspiciatis. Commodi exercitationem numquam temporibus ipsum et sit incidunt. Et est nulla distinctio repellat. Voluptatem nam cum sunt ratione et provident.,"English, Malay",3,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:26,2025-05-15 07:39:26,,
5,guide3,$2y$12$aInuk1QPKz6l29DUkgeyKeTWmsPpI/N/mHmh7JaZZwsIwT6mXiiKC,guide3@example.com,,,(714) 482-5021,Miss Jammie Weber,1970-09-14,male,"349 Rogelio Manors
Kaelafort, UT 02996-7134",2,2025-05-15 07:39:27,2025-05-15 07:39:27,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,IKFRBQIZ,702.859.2262,Tempore fuga quia sit aspernatur ea quas sed nulla. Dolores est est ullam praesentium ex explicabo. Nihil nihil itaque consectetur odio vitae qui.,"English, Malay",12,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:27,2025-05-15 07:39:27,,
6,visitor1,$2y$12$/y4eb5Brn9bA//HmA8dqnuzf.ToKQbw2M0wPBsUQqdgbbD2D1SP7S,visitor1@example.com,,,484.806.8781,Dr. Austen Jacobson,2009-02-04,male,"697 Micaela Corner Suite 796
New Enola, AR 60926-2951",3,2025-05-15 07:39:29,2025-05-15 07:39:29,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,JENQLAIU,+1 (505) 983-2578,Sequi laborum vel aspernatur. Iure est architecto ad et. Quia necessitatibus molestiae ex vel odio. Maxime dolorum omnis est omnis numquam maxime.,"English, Malay",4,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:29,2025-05-15 07:39:29,,
7,visitor2,$2y$12$bK.wpaDlUF1K0INmmciyXOunYfbQ5sCmc9mvsJfWIHgVEj0oLKMEq,visitor2@example.com,,,+1 (458) 478-5877,Alyson Krajcik,1992-07-13,male,"5288 Sporer Ports
Rolfsonfurt, HI 96938",3,2025-05-15 07:39:30,2025-05-15 07:39:30,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,L2CTP361,618-492-5703,Ullam sapiente voluptas dignissimos blanditiis. Quasi consequatur laudantium totam nesciunt perspiciatis. Molestiae non et sapiente consectetur id omnis voluptatem id.,"English, Malay",3,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:30,2025-05-15 07:39:30,,
8,visitor3,$2y$12$CcARjfwu6gYxBkWOWDzmbeGih8acsS2hLsf28A9GR675u.1F8CQ8S,visitor3@example.com,,,+1-385-783-1650,Cecil Wolf V,2013-06-19,male,"43774 Arnulfo Points
North Marilyne, VA 26928-7873",3,2025-05-15 07:39:31,2025-05-15 07:39:31,active,http://172.17.0.156:8000/mobile/assets/placeholder.jpg,,,HDPHSCBF,+1-215-222-7935,Maxime quo facere labore impedit. Corrupti voluptates ducimus velit. Quaerat aut tempore rerum non omnis eius cumque. Non officia iste quo sint sed.,"English, Malay",13,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:31,2025-05-15 07:39:31,,
9,lacy43,$2y$12$.kvY0IU7Vn/sKJ1Zmoie/OE4spwKI3HEVOEiJL3uaqwXxkNCmDcQu,corwin.cale@example.net,,,+1-651-548-5655,Prof. Russell Bogan,1999-09-07,male,"317 Keon Manors Suite 941
North Londonstad, NJ 31510",1,2025-05-15 07:39:33,2025-05-15 07:39:33,active,https://via.placeholder.com/640x480.png/00ee22?text=nostrum,,,ZDOLAMLQ,413.369.6342,Tempora voluptatum nostrum sequi in. Vel est laborum qui aut. At ad minima optio laudantium voluptates. Dolorum ratione est placeat sint eum porro ex consectetur.,"English, Malay",14,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:33,2025-05-15 07:39:33,,
10,wfarrell,$2y$12$R1I.p6Nq.rVMITLqr8HW9OhaPIslRoPdm8FdOgnxxKW0VgF.spcqe,henderson07@example.net,,,1-808-869-6147,Kale Breitenberg,2019-12-18,male,"127 Gleichner Extensions
Langport, IA 68393",1,2025-05-15 07:39:33,2025-05-15 07:39:33,active,https://via.placeholder.com/640x480.png/00ee55?text=fugit,,,CJMDZECW,507.399.6596,Dicta accusantium similique necessitatibus reiciendis optio aut. Rerum vitae unde ut perspiciatis minus est. Sit ut sit eaque sit esse soluta. Facere molestiae quaerat ut libero fugit voluptatem est.,"English, Malay",7,"Biodiversity, Jungle Trekking",active,2025-05-15 07:39:33,2025-05-15 07:39:33,,
